sample,yblock,ycat,moderator,ctrlspec,b_triple,se_triple,p_triple,N_model,rc
uv_nonurban,merged4,cat_violent,pre_deal_price,ntl_dist,-0.269972053079806,0.122620320848623,0.0276875487166663,563636,0
uv_nonurban,merged4,cat_violent,pre_deal_price,ntl_only,-0.257528428189878,0.129094803590119,0.0460566304966658,563636,0
uv_nonurban,merged4,cat_violent,pre_deal_cycle,ntl_dist,-0.615109003940721,0.245959064643078,0.0123895218160806,563636,0
uv_nonurban,merged4,cat_violent,pre_deal_cycle,ntl_only,-0.517203715052008,0.240361208985554,0.0314153476165499,563636,0
uv_nonurban,merged4,cat_violent,pre_price_gap,ntl_dist,-1.22666194111848,0.493291131522935,0.0128940703981899,563636,0
uv_nonurban,merged4,cat_violent,pre_price_gap,ntl_only,-0.978104080838621,0.414125677344113,0.0181841762236149,563636,0
uv_nonurban,merged4,cat_corporate,pre_list_price,ntl_dist,0.0644910377923512,0.122828225492096,0.599548261501774,431354,0
uv_nonurban,merged4,cat_corporate,pre_list_price,ntl_only,0.101518254927934,0.132372034481282,0.443131773202199,431354,0
uv_nonurban,merged4,cat_corporate,pre_deal_price,ntl_dist,-0.112082134785146,0.233189552208332,0.630766807576232,431354,0
uv_nonurban,merged4,cat_corporate,pre_deal_price,ntl_only,-0.0605881252993869,0.250338435852891,0.808761014066444,431354,0
uv_nonurban,merged4,cat_corporate,pre_deal_cycle,ntl_dist,0.652195965284356,0.507904364442114,0.19911043309583,431354,0
uv_nonurban,merged4,cat_corporate,pre_deal_cycle,ntl_only,0.735939423447582,0.417407304124168,0.0778808566848229,431354,0
uv_nonurban,merged4,cat_corporate,pre_price_gap,ntl_dist,1.55327777738621,1.17409503538857,0.185850228755677,431354,0
uv_nonurban,merged4,cat_corporate,pre_price_gap,ntl_only,1.59431639476201,1.24293895878174,0.199598286097677,431354,0
uv_nonurban,merged4,cat_underground,pre_list_price,ntl_dist,-0.0186651847275531,0.0653800499198761,0.775270811345755,562993,0
uv_nonurban,merged4,cat_underground,pre_list_price,ntl_only,0.00119598579683911,0.0682188250053515,0.986012522239419,562993,0
uv_nonurban,merged4,cat_underground,pre_deal_price,ntl_dist,-0.0380454978665288,0.132598456825425,0.774171668617349,562993,0
uv_nonurban,merged4,cat_underground,pre_deal_price,ntl_only,0.010222366838357,0.116118827397432,0.929849944442957,562993,0
uv_nonurban,merged4,cat_underground,pre_deal_cycle,ntl_dist,-0.294820316059464,0.268008285487234,0.271314381418113,562993,0
uv_nonurban,merged4,cat_underground,pre_deal_cycle,ntl_only,-0.168849326794863,0.234116595838015,0.470775110301517,562993,0
uv_nonurban,merged4,cat_underground,pre_price_gap,ntl_dist,-1.06356844722553,0.760181097281607,0.161783913894689,562993,0
uv_nonurban,merged4,cat_underground,pre_price_gap,ntl_only,-0.717574602560418,0.576108420994276,0.212928407681067,562993,0
uv_nonurban,totalcrime,all,pre_list_price,ntl_dist,-0.0348197347938779,0.0526616386714887,0.508486045582842,561767,0
uv_nonurban,totalcrime,all,pre_list_price,ntl_only,-0.0166139965075122,0.0626440688911922,0.790845784768913,561767,0
uv_nonurban,totalcrime,all,pre_deal_price,ntl_dist,-0.0388850219873795,0.113030491571946,0.730829562441897,561767,0
uv_nonurban,totalcrime,all,pre_deal_price,ntl_only,-0.00387379377146513,0.110856773976015,0.972124302048296,561767,0
uv_nonurban,totalcrime,all,pre_deal_cycle,ntl_dist,-0.573030527322721,0.201161749890283,0.00439128452296958,561767,0
uv_nonurban,totalcrime,all,pre_deal_cycle,ntl_only,-0.494221620066425,0.185989309673656,0.00787813064665486,561767,0
uv_nonurban,totalcrime,all,pre_price_gap,ntl_dist,-0.988503495299026,0.471500295462705,0.0360377185238283,561767,0
uv_nonurban,totalcrime,all,pre_price_gap,ntl_only,-0.721279744817093,0.50006174531967,0.149195374317921,561767,0
