table_type,outcome,subsample,coef,se,p,N_full,N_regression
16_subcategories,Migration,UV,,,,,
16_subcategories,Migration,Urban non-UV,-0.134252222108114,0.578804719504769,0.816671041233673,4872160,516
16_subcategories,Migration,Urban UV,,,,,
16_subcategories,Migration,Non-urban UV,,,,,
4_major,Property,UV,0.190159867147248,0.089805714533224,0.034225210163127,1567410,57910
4_major,Property,Urban non-UV,0.100535267764186,0.150223944176851,0.503346721173292,4872160,87780
4_major,Property,Urban UV,0.121592458721326,0.171629232766316,0.478663214631867,998230,45670
4_major,Property,Non-urban UV,0.18950755492436,0.0619834070635283,0.00223761791109857,569180,12045
4_major,Violent,UV,0.31992578265003,0.101291021484616,0.00158712043874492,1567410,39810
4_major,Violent,Urban non-UV,0.0749629691900443,0.208735234847489,0.719499610364653,4872160,55923
4_major,Violent,Urban UV,0.343757635218239,0.246665726133516,0.163443384982176,998230,30370
4_major,Violent,Non-urban UV,0.292476072876725,0.0614465566305392,1.96634229960842e-06,569180,9398
4_major,Corporate,UV,0.422386262597493,0.183782602326879,0.0215676670959835,1567410,9108
4_major,Corporate,Urban non-UV,0.185959338018127,0.125237579077394,0.137606417178141,4872160,13398
4_major,Corporate,Urban UV,0.497514983165109,0.331101141569784,0.132980839832217,998230,7799
4_major,Corporate,Non-urban UV,0.507388542120293,0.24577346560561,0.0392498103943484,569180,936
4_major,Underground,UV,0.178485956777784,0.0692243005486074,0.00992971059210609,1567410,47430
4_major,Underground,Urban non-UV,0.135867465550306,0.140588873170992,0.333840389051342,4872160,48820
4_major,Underground,Urban UV,0.103605073516706,0.209418679802433,0.620795742817549,998230,37516
4_major,Underground,Non-urban UV,0.201004746328579,0.0492645769490253,4.53728277223631e-05,569180,9770
